training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9202,0,0.2532,0
1,0,0.9691,0,0.1018,0
2,0,0.9699,0,0.0974,0
3,0,0.9709,0,0.0959,0
4,0,0.9709,0,0.0946,0
