training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7075,0,0.1337,0
1,0,0.4648,0,0.2034,0
2,0,0.3115,0,0.2841,0
3,0,0.1997,0,0.3752,0
4,0,0.2252,0,0.4521,0
