training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3894,0,1.6952,0
1,0,0.7521,0,0.7312,0
2,0,0.6077,0,1.1153,0
3,0,0.7596,0,0.6833,0
4,0,0.7497,0,0.8065,0
5,0,0.8035,0,0.5632,0
6,0,0.7952,0,0.6450,0
7,0,0.8437,0,0.4835,0
8,0,0.8447,0,0.4742,0
