training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9186,0,0.2568,0
1,0,0.9677,0,0.1044,0
2,0,0.9701,0,0.0974,0
3,0,0.9708,0,0.0979,0
4,0,0.9716,0,0.0945,0
