training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7566,0,0.4971,0
1,0,0.8265,0,0.4433,0
2,0,0.8980,0,0.3068,0
3,0,0.8849,0,0.3827,0
4,0,0.8685,0,0.4431,0
