training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.0883,0,0.1326,0
1,0,0.0597,0,0.0648,0
2,0,0.0287,0,0.0860,0
3,0,0.0165,0,0.1068,0
4,0,0.0153,0,0.1267,0
